Year,Day,Hour,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,D_kPa,RH_Perc
2023,208,17,167.3960612691466,0.25,2.812333,43.14439,7.561991853638035,13.21547
2023,208,18,88.62144420131291,6.32,2.172333,42.92901,7.397524716756408,14.1437
2023,208,19,14.22319474835886,0.0,2.684333,41.53147,6.798243614614897,15.09564
2023,208,20,0.0,0.0,1.508333,40.38776,6.280720503311058,16.66132
2023,208,21,0.0,0.0,2.388333,39.59313,5.757083478148678,20.3026
2023,208,22,0.0,0.25,2.001667,38.65283,5.311069632134975,22.67144
2023,208,23,0.0,0.0,0.2534667,36.78743,4.547488146008329,26.74187
2023,209,00,0.0,6.32,0.8670999,35.94606,4.192018881058244,29.28405
2023,209,01,0.0,0.0,0.0,34.61813,3.6789885681688217,33.21834
2023,209,02,0.0,0.0,1.625666,34.05504,3.456156832282083,35.2685
2023,209,03,0.0,0.0,0.0,33.16272,3.264497589352463,35.73179
2023,209,04,0.0,0.25,0.0,32.33575,2.834470503724166,41.54097
2023,209,05,0.0,0.0,0.0,31.66467,2.8341692737492648,39.28599
2023,209,06,7.658643326039387,6.32,0.0,31.7189,2.793381393286202,40.34343
2023,209,07,65.0984682713348,0.25,0.2423333,33.78861,3.4763868070972213,33.91515
2023,209,08,98.46827133479212,0.0,1.1041,34.97498,3.8721003999222585,31.08878
2023,209,09,79.8687089715536,0.0,1.513667,35.54458,4.180289676008115,27.90711
2023,209,10,71.66301969365426,0.0,0.4059333,35.94653,4.216580015924307,28.87156
2023,209,11,351.75054704595186,0.0,1.801667,36.95711,4.568554618642921,27.08068
2023,209,12,385.66739606126913,6.32,1.150533,38.61769,5.220432813757267,23.84711
2023,209,13,385.66739606126913,0.25,1.721667,40.91935,6.151158972366513,20.65107
2023,209,14,350.109409190372,0.0,0.4545667,42.14376,6.711698234203705,18.8342
2023,209,15,304.70459518599563,0.0,2.380333,42.98681,7.227894334172601,16.36515
2023,209,16,240.70021881838073,0.0,2.007,43.3362,7.459285850756892,15.24524
2023,209,17,158.6433260393873,0.0,1.953667,43.15066,7.39254720183304,15.18781
2023,209,18,87.527352297593,6.32,2.540333,43.15098,7.4792115944212245,14.19497
2023,209,19,20.787746170678336,0.0,2.513667,42.14644,6.979760496172386,15.60435
2023,209,20,0.0,0.0,2.617667,40.93785,6.503901001502401,16.18293
2023,209,21,0.0,0.0,0.9748666,39.42342,5.834192926117832,18.49826
2023,209,22,0.0,0.0,1.199633,38.40236,5.566732604479827,17.84735
2023,209,23,0.0,0.0,1.628333,35.34266,4.232804088179754,26.18424
2023,210,00,0.0,6.32,1.418767,34.73117,4.123379697623454,25.61934
2023,210,01,0.0,0.0,0.1618667,33.87493,3.8101857200667184,27.91775
2023,210,02,0.0,0.0,1.588333,34.36406,3.999666784145828,26.36589
2023,210,03,0.0,0.0,0.0,33.26576,3.6400512723698215,28.75094
2023,210,04,0.0,0.0,1.444333,33.67334,3.7397645861790414,28.4494
2023,210,05,0.0,0.25,1.1212,33.66659,3.8078880683732277,27.11856
2023,210,06,2.735229759299781,6.32,0.04046667,32.84637,3.4343418822619207,31.17662
2023,210,07,39.387308533916844,0.0,0.2312,33.62892,3.6232069127489908,30.50718
2023,210,08,71.1159737417943,0.0,1.436333,33.87532,3.659344810901008,30.77291
2023,210,09,224.835886214442,0.0,1.240733,36.52166,4.612634741891806,24.60533
2023,210,10,195.84245076586433,0.0,1.588333,36.86354,4.799488554879313,23.00275
2023,210,11,396.0612691466083,0.0,1.500333,38.65627,5.3628237060975685,21.93237
