year,julian-day,standard-time,leaftemp,GW,leaf-air-temp-diff
2023,216,1,21.0391348980359,1e-05,-11.5948651019641
2023,216,2,28.2351530420262,1e-05,-2.15289695797382
2023,216,3,17.3909828163034,1e-05,-11.1284571836966
2023,216,4,15.9133465253443,1e-05,-10.7694734746557
2023,216,5,15.1822530124922,1e-05,-10.5745669875078
2023,216,6,16.7106660782565,1e-05,-10.0945739217435
2023,216,7,26.3707041879044,0.154025278086972,-2.92779581209563
2023,216,8,29.5829878132563,0.265533401900104,-2.87933218674365
2023,216,9,31.619488695583,0.317706753681933,-2.95127130441699
2023,216,10,33.4678769601966,0.339554610887531,-3.35378303980339
2023,216,11,34.9118288090403,0.342491196304908,-3.22763119095971
2023,216,12,35.8520174815041,0.335889673404872,-3.57430251849586
2023,216,13,37.1489485248142,0.319893349138881,-3.88559147518583
2023,216,14,37.1844815734565,0.312226409509768,-4.00816842654351
2023,216,15,38.1626540370996,0.283809918567214,-3.71213596290039
2023,216,16,36.1160293823378,0.273866893093774,-5.98464061766216
2023,216,17,38.1172821087596,0.205223672508207,-4.41028789124037
2023,216,18,36.9764183059716,0.120702490198597,-4.98646169402844
2023,216,19,35.6662110143163,1e-05,-5.31552898568371
2023,216,20,25.3660853320592,1e-05,-12.6026246679408
2023,216,21,24.7665846427453,1e-05,-12.3360253572547
2023,216,22,23.061960450416,1e-05,-12.2743895495841
2023,216,23,36.2459073332798,1e-05,-1.30251266672018
2023,217,0,35.2693300468616,1e-05,-1.02111995313837
2023,217,1,33.827640989485,1e-05,-1.14185901051503
2023,217,2,31.2729514775532,1e-05,-1.49120852244679
2023,217,3,30.8582985865355,1e-05,-1.48648141346453
2023,217,4,26.4528574678012,1e-05,-4.2854225321988
2023,217,5,16.3909750953673,1e-05,-11.0809149046327
2023,217,6,16.1265488184602,1e-05,-10.0609311815398
2023,217,7,26.8300170848351,0.149159969363996,-3.6069729151649
2023,217,8,29.5820860761045,0.266719144701217,-2.64299392389547
2023,217,9,31.5353776415014,0.317106903234002,-3.41868235849856
2023,217,10,33.3109561861309,0.336278690952026,-3.45603381386907
2023,217,11,34.4806636505968,0.343291433057143,-3.66269634940318
2023,217,12,36.0773268611471,0.334311681357239,-3.69006313885293
2023,217,13,37.9499863510157,0.308620310491505,-3.58599364898435
2023,217,14,37.7124241251953,0.302742604430938,-4.61193587480474
2023,217,15,39.0567112669581,0.270617101053323,-3.86387873304187
2023,217,16,39.557044393227,0.237949752552274,-3.76559560677302
2023,217,17,39.7575506288669,0.190696445188015,-3.49054937113306
2023,217,18,39.4948650862571,0.110611225906165,-2.89489491374289
2023,217,19,39.5747127755204,1e-05,-1.78345722447961
2023,217,20,38.4398959420305,1e-05,-1.50364405796952
2023,217,21,35.6913786554481,1e-05,-3.10997134455188
2023,217,22,21.3614594305375,1e-05,-13.1759105694625
2023,217,23,33.4948219652347,1e-05,-2.74986803476527
2023,218,0,34.5638619134493,1e-05,-1.5542880865507
2023,218,1,33.2979077444678,1e-05,-1.3719022555322
2023,218,2,33.4185013874681,1e-05,-1.22886861253193
2023,218,3,33.4850378734213,1e-05,-1.10963212657872
2023,218,4,30.9629715520658,1e-05,-1.3907084479342
2023,218,5,17.1792478020693,1e-05,-12.0609821979307
2023,218,6,15.6038676755499,1e-05,-11.5703123244501
2023,218,7,26.7663931326505,0.147236617466277,-3.54688686734951
2023,218,8,29.0726527611493,0.261510436960831,-3.98164723885073
2023,218,9,30.7743745358833,0.316500027851837,-4.33889546411672
2023,218,10,32.1489650801787,0.341494872721243,-4.14526491982134
2023,218,11,33.4241402584976,0.355914172209286,-3.74831974150243
2023,218,12,35.7775239536536,0.343617961518189,-2.9441860463464
2023,218,13,36.384326352818,0.315814106260002,-3.34249364718197
2023,218,14,37.4760853503916,0.319458326697361,-3.20157464960838
2023,218,15,38.0350921403018,0.306427900583387,-3.69583785969818
2023,218,16,38.7205611740487,0.267201417769496,-3.27224882595131
2023,218,17,39.1980067202782,0.230635733647712,-3.14434327972176
