year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp
2023,216,15,318.3807439824945,0.0,2.561667,41.87479,41.34000000000003,7.462584783156824,,,,,4.221955839550089
2023,216,16,245.62363238512037,0.0,0.8780667,42.10067,42.18000000000001,7.544730373189928,,,,,3.8944055315855874
2023,216,17,165.20787746170677,0.0,1.505667,42.52757,42.450000000000045,7.761094454134623,,,,,4.663382475318867
2023,216,18,83.6980306345733,6.32,0.8569,41.96288,42.160000000000025,7.527550849143668,,,,,4.866959466077814
2023,216,19,13.676148796498904,0.0,0.1465,40.98174,41.22000000000003,7.07558411903558,,,,,4.040534549344238
2023,216,20,0.0,0.0,0.0,37.96871,39.06,5.885079443496274,,,,,2.1343324483313295
2023,216,21,0.0,0.0,0.0,37.10261,36.97000000000003,5.512487789703542,,,,,1.0422065267711809
2023,216,22,0.0,0.0,0.0,35.33635,35.120000000000005,4.940318711844672,,,,,1.0879504175793648
2023,216,23,0.0,0.0,1.868333,37.54842,33.39000000000004,5.608791180877808,,,,,0.913880614619752
2023,217,0,0.0,6.32,3.167,36.29045,31.82000000000005,5.151284946244116,,,,,0.42207161056441816
2023,217,1,0.0,0.0,2.351,34.9695,30.430000000000007,4.748249204781307,,,,,0.47002068512400985
2023,217,2,0.0,0.0,1.0481,32.76416,29.120000000000005,3.998489380400878,,,,,0.4994191070077749
2023,217,3,0.0,0.0,1.085433,32.34478,27.930000000000007,3.948917307562768,,,,,0.7299562391754124
2023,217,4,0.0,0.0,0.1534,30.73828,26.870000000000005,3.5454099405589172,,,,,0.5946217284963616
2023,217,5,0.0,0.0,0.0,27.47189,25.910000000000025,2.677165951224644,,,,,0.6950139886681738
2023,217,6,6.564551422319474,6.32,0.0,26.18748,25.120000000000005,2.3220604023373084,,,,,0.8069661978326256
2023,217,7,81.50984682713347,0.0,0.4346333,30.43699,25.32000000000005,3.386828185092684,,,,,3.649092352900921
2023,217,8,171.77242888402623,0.0,1.537667,32.22508,26.970000000000027,3.806806032624238,,,,,2.9111757838448105
2023,217,9,257.11159737417944,0.0,1.001367,34.95406,29.04000000000002,4.691018604886699,,,,,3.8294291712705397
2023,217,10,329.32166301969363,0.0,1.292333,36.76699,31.32000000000005,5.415868375536591,,,,,4.2589751636332
2023,217,11,379.6498905908096,0.0,1.086233,38.14336,33.73000000000002,5.916320543093629,,,,,4.514745593915315
2023,217,12,403.1728665207877,6.32,1.3521,39.76739,36.03000000000003,6.514796512418378,,,,,5.022934346021702
2023,217,13,399.890590809628,0.0,2.225667,41.53598,38.110000000000014,7.342547588833011,,,,,4.106096077784834
2023,217,14,370.35010940919034,0.0,1.100967,42.32436,39.93000000000001,7.73892744761389,,,,,3.885011082495277
2023,217,15,318.3807439824945,0.0,2.601666,42.92059,41.29000000000002,8.042497912213324,,,,,3.798381234157517
2023,217,16,247.81181619256017,0.0,3.135,43.32264,42.110000000000014,8.283090815348238,,,,,3.1639194223480325
2023,217,17,166.84901531728664,0.0,3.383,43.2481,42.39000000000004,8.271511850422357,,,,,3.052154976406015
