"TIMESTAMP","RECORD","DateTime(1)","DateTime(9)","DateTime(4)","DateTime(5)","Target","BattVolt_Avg","Pnl_Tmp_Avg","WindSpeed_Avg","AirT_Avg","AirRH_Avg","mV_tpile_Avg(1)","mV_tpile_Avg(2)","TbodyC_Avg(1)","TbodyC_Avg(2)","TtarRC_Avg","TtarHC_Avg","TadjH_Avg","T_Diffrns_Avg","PID_out_Avg","PID_lmt_Avg","ScldOut_Avg","TrelayBox_Avg"
"2023-09-09 22:50:00",14852,2023,252,22,50,3,12.92774,31.69375,0,34.2744,18.38664,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.53423
"2023-09-09 22:55:00",14853,2023,252,22,55,3,12.92664,31.46609,0,34.30829,18.17826,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.42486
"2023-09-09 23:00:00",14854,2023,252,23,0,3,12.92627,31.26645,0,34.32185,18.48969,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.29502
"2023-09-09 23:05:00",14855,2023,252,23,5,3,12.92443,31.08533,0,34.21113,19.58198,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.11353
"2023-09-09 23:10:00",14856,2023,252,23,10,3,12.92388,30.90768,0.0458,34.04167,19.33683,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.07607
"2023-09-09 23:15:00",14857,2023,252,23,15,3,12.92277,30.74125,0,34.01456,19.18293,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.93097
"2023-09-09 23:20:00",14858,2023,252,23,20,3,12.92259,30.57693,0,33.55814,20.54057,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.76637
"2023-09-09 23:25:00",14859,2023,252,23,25,3,12.92204,30.38331,0,32.83509,20.86744,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.43713
"2023-09-09 23:30:00",14860,2023,252,23,30,3,12.9213,30.1976,0.04046667,32.27022,21.45785,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.224
"2023-09-09 23:35:00",14861,2023,252,23,35,3,12.92093,30.00714,0,32.03297,21.38408,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.10898
"2023-09-09 23:40:00",14862,2023,252,23,40,3,12.91965,29.84109,0,32.10753,21.37817,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.07803
"2023-09-09 23:45:00",14863,2023,252,23,45,3,12.91928,29.68972,0,32.13691,21.61879,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",29.04017
"2023-09-09 23:50:00",14864,2023,252,23,50,3,12.91854,29.55612,0,32.27474,21.75998,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.9064
"2023-09-09 23:55:00",14865,2023,252,23,55,3,12.91762,29.43163,0,32.31541,21.78494,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.94429
"2023-09-09 24:00:00",14866,2023,253,0,0,3,12.91726,29.33389,0.08093333,32.38771,21.55931,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.84644
"2023-09-10 00:05:00",14867,2023,253,0,5,3,12.91597,29.24773,0.06603333,32.73794,21.29873,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.87399
"2023-09-10 00:10:00",14868,2023,253,0,10,3,12.91523,29.18093,0,32.64756,21.29373,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.85592
"2023-09-10 00:15:00",14869,2023,253,0,15,3,12.91431,29.1057,0,32.33575,21.81831,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.78063
"2023-09-10 00:20:00",14870,2023,253,0,20,3,12.91266,29.01834,0,32.04879,22.25891,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.68237
"2023-09-10 00:25:00",14871,2023,253,0,25,3,12.91358,28.94191,0,32.01715,21.80538,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.61673
"2023-09-10 00:30:00",14872,2023,253,0,30,3,12.91266,28.86509,0,32.24762,22.16084,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.53985
"2023-09-10 00:35:00",14873,2023,253,0,35,3,12.91192,28.80191,0,32.08268,22.82344,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.4712
"2023-09-10 00:40:00",14874,2023,253,0,40,3,12.91118,28.72442,0,31.31671,23.12443,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.23635
"2023-09-10 00:45:00",14875,2023,253,0,45,3,12.911,28.62584,0,30.96423,23.70803,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",28.13767
"2023-09-10 00:50:00",14876,2023,253,0,50,3,12.91063,28.50903,0,30.8038,24.80083,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.87417
"2023-09-10 00:55:00",14877,2023,253,0,55,3,12.91008,28.36489,0,30.71116,24.12002,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.71355
"2023-09-10 01:00:00",14878,2023,253,1,0,3,12.90971,28.23333,0,31.15403,23.90937,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.58181
"2023-09-10 01:05:00",14879,2023,253,1,5,3,12.90934,28.1105,0,31.06816,24.74163,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.45881
"2023-09-10 01:10:00",14880,2023,253,1,10,3,12.90879,27.99626,0,30.39935,24.41798,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.34441
"2023-09-10 01:15:00",14881,2023,253,1,15,3,12.90806,27.86379,0,30.16888,24.93904,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.21176
"2023-09-10 01:20:00",14882,2023,253,1,20,3,12.90732,27.72711,0,29.98586,26.09501,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.07488
"2023-09-10 01:25:00",14883,2023,253,1,25,3,12.90677,27.58583,0,29.59949,26.99655,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.78106
"2023-09-10 01:30:00",14884,2023,253,1,30,3,12.90677,27.42135,0,29.41873,27.32418,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.60543
"2023-09-10 01:35:00",14885,2023,253,1,35,3,12.90511,27.26426,0,29.42099,26.151,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.44806
"2023-09-10 01:40:00",14886,2023,253,1,40,3,12.90493,27.11666,0,29.35094,27.19764,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.45815
"2023-09-10 01:45:00",14887,2023,253,1,45,3,12.90382,26.98389,0,29.45714,27.08693,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.33065
"2023-09-10 01:50:00",14888,2023,253,1,50,3,12.90309,26.85443,0,29.45262,27.7806,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.24459
"2023-09-10 01:55:00",14889,2023,253,1,55,3,12.90272,26.74561,0,29.46618,27.79867,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.2555
"2023-09-10 02:00:00",14890,2023,253,2,0,3,12.9029,26.65426,0,29.45262,27.81675,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.1913
"2023-09-10 02:05:00",14891,2023,253,2,5,3,12.90143,26.57609,0,29.28542,28.42229,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.24927
"2023-09-10 02:10:00",14892,2023,253,2,10,3,12.90088,26.4931,0,29.22188,27.58481,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.16622
"2023-09-10 02:15:00",14893,2023,253,2,15,3,12.90059,26.43775,0,29.10832,27.05811,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.11083
"2023-09-10 02:20:00",14894,2023,253,2,20,3,12.90013,26.39618,0,29.07166,28.45881,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.06923
"2023-09-10 02:25:00",14895,2023,253,2,25,3,12.90008,26.33887,0,29.0056,28.34429,"NAN",-2.509138,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.01188
"2023-09-10 02:30:00",14896,2023,253,2,30,3,12.9001,26.27426,0,28.77425,28.92916,"NAN",-2.47166,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.94723
"2023-09-10 02:35:00",14897,2023,253,2,35,3,12.89983,26.19579,0,28.60757,28.81188,"NAN",-2.432229,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.86871
"2023-09-10 02:40:00",14898,2023,253,2,40,3,12.90007,26.132,0,28.83031,29.479,"NAN",-2.407916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.82123
"2023-09-10 02:45:00",14899,2023,253,2,45,3,12.89928,26.08704,0,29.51691,27.83614,"NAN",-2.343445,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.99977
